budget_adj,genres,original_title,popularity,release_year,revenue_adj,vote_average
137999939.280026,Action,Jurassic World,32.985763,2015.0,1392445892.5238,6.5
137999939.280026,Adventure,Jurassic World,32.985763,2015.0,1392445892.5238,6.5
137999939.280026,Science Fiction,Jurassic World,32.985763,2015.0,1392445892.5238,6.5
137999939.280026,Thriller,Jurassic World,32.985763,2015.0,1392445892.5238,6.5
137999939.280026,Action,Mad Max: Fury Road,28.419936,2015.0,348161292.489031,7.1
137999939.280026,Adventure,Mad Max: Fury Road,28.419936,2015.0,348161292.489031,7.1
137999939.280026,Science Fiction,Mad Max: Fury Road,28.419936,2015.0,348161292.489031,7.1
137999939.280026,Thriller,Mad Max: Fury Road,28.419936,2015.0,348161292.489031,7.1
101199955.47201899,Adventure,Insurgent,13.112507,2015.0,271619025.407628,6.3
101199955.47201899,Science Fiction,Insurgent,13.112507,2015.0,271619025.407628,6.3
101199955.47201899,Thriller,Insurgent,13.112507,2015.0,271619025.407628,6.3
183999919.040035,Action,Star Wars: The Force Awakens,11.173103999999999,2015.0,1902723129.80182,7.5
183999919.040035,Adventure,Star Wars: The Force Awakens,11.173103999999999,2015.0,1902723129.80182,7.5
183999919.040035,Science Fiction,Star Wars: The Force Awakens,11.173103999999999,2015.0,1902723129.80182,7.5
183999919.040035,Fantasy,Star Wars: The Force Awakens,11.173103999999999,2015.0,1902723129.80182,7.5
174799923.08803302,Action,Furious 7,9.335014,2015.0,1385748801.47052,7.3
174799923.08803302,Crime,Furious 7,9.335014,2015.0,1385748801.47052,7.3
174799923.08803302,Thriller,Furious 7,9.335014,2015.0,1385748801.47052,7.3
124199945.352024,Western,The Revenant,9.1107,2015.0,490314247.02173096,7.2
124199945.352024,Drama,The Revenant,9.1107,2015.0,490314247.02173096,7.2
124199945.352024,Adventure,The Revenant,9.1107,2015.0,490314247.02173096,7.2
124199945.352024,Thriller,The Revenant,9.1107,2015.0,490314247.02173096,7.2
142599937.256027,Science Fiction,Terminator Genisys,8.654359,2015.0,405355075.683766,5.8
142599937.256027,Action,Terminator Genisys,8.654359,2015.0,405355075.683766,5.8
142599937.256027,Thriller,Terminator Genisys,8.654359,2015.0,405355075.683766,5.8
142599937.256027,Adventure,Terminator Genisys,8.654359,2015.0,405355075.683766,5.8
99359956.2816192,Drama,The Martian,7.6674,2015.0,547749654.3101519,7.6
99359956.2816192,Adventure,The Martian,7.6674,2015.0,547749654.3101519,7.6
99359956.2816192,Science Fiction,The Martian,7.6674,2015.0,547749654.3101519,7.6
68079970.0448131,Family,Minions,7.40416499999999,2015.0,1064192016.7955099,6.5
68079970.0448131,Animation,Minions,7.40416499999999,2015.0,1064192016.7955099,6.5
68079970.0448131,Adventure,Minions,7.40416499999999,2015.0,1064192016.7955099,6.5
68079970.0448131,Comedy,Minions,7.40416499999999,2015.0,1064192016.7955099,6.5
160999929.16003102,Comedy,Inside Out,6.326804,2015.0,785411574.698907,8.0
160999929.16003102,Animation,Inside Out,6.326804,2015.0,785411574.698907,8.0
160999929.16003102,Family,Inside Out,6.326804,2015.0,785411574.698907,8.0
225399900.824043,Action,Spectre,6.200282,2015.0,810220283.783075,6.2
225399900.824043,Adventure,Spectre,6.200282,2015.0,810220283.783075,6.2
225399900.824043,Crime,Spectre,6.200282,2015.0,810220283.783075,6.2
161919931.51523,Science Fiction,Jupiter Ascending,6.189369,2015.0,169268630.681802,5.2
161919931.51523,Fantasy,Jupiter Ascending,6.189369,2015.0,169268630.681802,5.2
161919931.51523,Action,Jupiter Ascending,6.189369,2015.0,169268630.681802,5.2
161919931.51523,Adventure,Jupiter Ascending,6.189369,2015.0,169268630.681802,5.2
13799993.9280026,Drama,Ex Machina,6.118847,2015.0,33919845.9552677,7.6
13799993.9280026,Science Fiction,Ex Machina,6.118847,2015.0,33919845.9552677,7.6
80959964.37761559,Action,Pixels,5.984995,2015.0,224146025.095748,5.8
80959964.37761559,Comedy,Pixels,5.984995,2015.0,224146025.095748,5.8
80959964.37761559,Science Fiction,Pixels,5.984995,2015.0,224146025.095748,5.8
257599886.656049,Action,Avengers: Age of Ultron,5.944927,2015.0,1292632336.88177,7.4
257599886.656049,Adventure,Avengers: Age of Ultron,5.944927,2015.0,1292632336.88177,7.4
257599886.656049,Science Fiction,Avengers: Age of Ultron,5.944927,2015.0,1292632336.88177,7.4
40479982.18880779,Crime,The Hateful Eight,5.8984,2015.0,143299244.588332,7.4
40479982.18880779,Drama,The Hateful Eight,5.8984,2015.0,143299244.588332,7.4
40479982.18880779,Mystery,The Hateful Eight,5.8984,2015.0,143299244.588332,7.4
40479982.18880779,Western,The Hateful Eight,5.8984,2015.0,143299244.588332,7.4
44159980.5696085,Crime,Taken 3,5.749758,2015.0,299709578.207785,6.1
44159980.5696085,Action,Taken 3,5.749758,2015.0,299709578.207785,6.1
44159980.5696085,Thriller,Taken 3,5.749758,2015.0,299709578.207785,6.1
119599947.376023,Science Fiction,Ant-Man,5.5731839999999995,2015.0,477113780.029936,7.0
119599947.376023,Action,Ant-Man,5.5731839999999995,2015.0,477113780.029936,7.0
119599947.376023,Adventure,Ant-Man,5.5731839999999995,2015.0,477113780.029936,7.0
87399961.54401691,Romance,Cinderella,5.556818,2015.0,498963025.21626794,6.8
87399961.54401691,Fantasy,Cinderella,5.556818,2015.0,498963025.21626794,6.8
87399961.54401691,Family,Cinderella,5.556818,2015.0,498963025.21626794,6.8
87399961.54401691,Drama,Cinderella,5.556818,2015.0,498963025.21626794,6.8
147199935.232028,War,The Hunger Games: Mockingjay - Part 2,5.476958,2015.0,598481289.508232,6.5
147199935.232028,Adventure,The Hunger Games: Mockingjay - Part 2,5.476958,2015.0,598481289.508232,6.5
147199935.232028,Science Fiction,The Hunger Games: Mockingjay - Part 2,5.476958,2015.0,598481289.508232,6.5
174799923.08803302,Action,Tomorrowland,5.4621379999999995,2015.0,192312729.942398,6.2
174799923.08803302,Family,Tomorrowland,5.4621379999999995,2015.0,192312729.942398,6.2
174799923.08803302,Science Fiction,Tomorrowland,5.4621379999999995,2015.0,192312729.942398,6.2
174799923.08803302,Adventure,Tomorrowland,5.4621379999999995,2015.0,192312729.942398,6.2
174799923.08803302,Mystery,Tomorrowland,5.4621379999999995,2015.0,192312729.942398,6.2
27599987.856005296,Action,Southpaw,5.337064,2015.0,84373003.7158783,7.3
27599987.856005296,Drama,Southpaw,5.337064,2015.0,84373003.7158783,7.3
101199955.47201899,Action,San Andreas,4.907832,2015.0,432851374.985395,6.1
101199955.47201899,Drama,San Andreas,4.907832,2015.0,432851374.985395,6.1
101199955.47201899,Thriller,San Andreas,4.907832,2015.0,432851374.985395,6.1
36799983.808007106,Drama,Fifty Shades of Grey,4.71040199999999,2015.0,524079119.045187,5.3
36799983.808007106,Romance,Fifty Shades of Grey,4.71040199999999,2015.0,524079119.045187,5.3
25759988.665604897,Comedy,The Big Short,4.648046,2015.0,122678731.54135801,7.3
25759988.665604897,Drama,The Big Short,4.648046,2015.0,122678731.54135801,7.3
137999939.280026,Action,Mission: Impossible - Rogue Nation,4.566713,2015.0,627743451.672881,7.1
62559972.4736121,Comedy,Ted 2,4.5645489999999995,2015.0,198594430.13845,6.3
74519967.21121441,Crime,Kingsman: The Secret Service,4.503789,2015.0,371497801.660967,7.6
74519967.21121441,Comedy,Kingsman: The Secret Service,4.503789,2015.0,371497801.660967,7.6
74519967.21121441,Action,Kingsman: The Secret Service,4.503789,2015.0,371497801.660967,7.6
74519967.21121441,Adventure,Kingsman: The Secret Service,4.503789,2015.0,371497801.660967,7.6
18399991.9040035,Drama,Spotlight,4.062293,2015.0,81278719.39736341,7.8
18399991.9040035,Thriller,Spotlight,4.062293,2015.0,81278719.39736341,7.8
18399991.9040035,History,Spotlight,4.062293,2015.0,81278719.39736341,7.8
56119975.30721079,Action,Maze Runner: The Scorch Trials,3.968891,2015.0,286356245.923251,6.4
56119975.30721079,Science Fiction,Maze Runner: The Scorch Trials,3.968891,2015.0,286356245.923251,6.4
56119975.30721079,Thriller,Maze Runner: The Scorch Trials,3.968891,2015.0,286356245.923251,6.4
0.0,Mystery,Mr. Holmes,3.927333,2015.0,27006774.877019,6.4
0.0,Drama,Mr. Holmes,3.927333,2015.0,27006774.877019,6.4
45079980.164808705,Crime,Chappie,3.899557,2015.0,93903685.2423785,6.6
45079980.164808705,Action,Chappie,3.899557,2015.0,93903685.2423785,6.6
45079980.164808705,Science Fiction,Chappie,3.899557,2015.0,93903685.2423785,6.6
26679988.260805104,Comedy,Pitch Perfect 2,3.877764,2015.0,264505582.09754303,6.8
26679988.260805104,Music,Pitch Perfect 2,3.877764,2015.0,264505582.09754303,6.8
36799983.808007106,Thriller,Bridge of Spies,3.6482099999999997,2015.0,149601569.335309,7.1
36799983.808007106,Drama,Bridge of Spies,3.6482099999999997,2015.0,149601569.335309,7.1
53359976.5216103,Adventure,Goosebumps,3.6445410000000003,2015.0,138157089.01088,6.2
53359976.5216103,Horror,Goosebumps,3.6445410000000003,2015.0,138157089.01088,6.2
53359976.5216103,Comedy,Goosebumps,3.6445410000000003,2015.0,138157089.01088,6.2
5519997.57120106,Drama,Room,3.557846,2015.0,32569603.029374603,8.0
5519997.57120106,Thriller,Room,3.557846,2015.0,32569603.029374603,8.0
0.0,Crime,Solace,3.358321,2015.0,20566197.1908732,6.2
0.0,Drama,Solace,3.358321,2015.0,20566197.1908732,6.2
0.0,Mystery,Solace,3.358321,2015.0,20566197.1908732,6.2
160999929.16003102,Adventure,The Good Dinosaur,3.3391349999999997,2015.0,305371920.876354,6.6
160999929.16003102,Animation,The Good Dinosaur,3.3391349999999997,2015.0,305371920.876354,6.6
160999929.16003102,Comedy,The Good Dinosaur,3.3391349999999997,2015.0,305371920.876354,6.6
160999929.16003102,Family,The Good Dinosaur,3.3391349999999997,2015.0,305371920.876354,6.6
160999929.16003102,Fantasy,The Good Dinosaur,3.3391349999999997,2015.0,305371920.876354,6.6
45999979.7600089,Action,Run All Night,3.23737,2015.0,65836683.5118592,6.3
45999979.7600089,Crime,Run All Night,3.23737,2015.0,65836683.5118592,6.3
45999979.7600089,Drama,Run All Night,3.23737,2015.0,65836683.5118592,6.3
45999979.7600089,Mystery,Run All Night,3.23737,2015.0,65836683.5118592,6.3
45999979.7600089,Thriller,Run All Night,3.23737,2015.0,65836683.5118592,6.3
10119995.5472019,Drama,Brooklyn,3.227329,2015.0,57110024.5915891,7.3
10119995.5472019,Romance,Brooklyn,3.227329,2015.0,57110024.5915891,7.3
25759988.665604897,Drama,Straight Outta Compton,3.2027189999999996,2015.0,185504110.098191,7.7
25759988.665604897,Music,Straight Outta Compton,3.2027189999999996,2015.0,185504110.098191,7.7
82799963.56801601,Fantasy,The Last Witch Hunter,3.080505,2015.0,129164861.16746101,5.6
82799963.56801601,Action,The Last Witch Hunter,3.080505,2015.0,129164861.16746101,5.6
82799963.56801601,Adventure,The Last Witch Hunter,3.080505,2015.0,129164861.16746101,5.6
27599987.856005296,History,Steve Jobs,3.0795220000000003,2015.0,31686509.2179359,6.9
27599987.856005296,Drama,Steve Jobs,3.0795220000000003,2015.0,31686509.2179359,6.9
68999969.64001329,Comedy,The Man from U.N.C.L.E.,3.0534209999999997,2015.0,99493456.50287908,7.0
68999969.64001329,Action,The Man from U.N.C.L.E.,3.0534209999999997,2015.0,99493456.50287908,7.0
68999969.64001329,Adventure,The Man from U.N.C.L.E.,3.0534209999999997,2015.0,99493456.50287908,7.0
22999989.8800044,Fantasy,The Age of Adaline,3.025852,2015.0,39219376.6634742,7.3
22999989.8800044,Drama,The Age of Adaline,3.025852,2015.0,39219376.6634742,7.3
22999989.8800044,Romance,The Age of Adaline,3.025852,2015.0,39219376.6634742,7.3
9199995.95200178,Action,Hardcore Henry,3.023253,2015.0,13187080.9976843,5.9
9199995.95200178,Adventure,Hardcore Henry,3.023253,2015.0,13187080.9976843,5.9
9199995.95200178,Science Fiction,Hardcore Henry,3.023253,2015.0,13187080.9976843,5.9
124199945.352024,Fantasy,Home,2.976436,2015.0,339361177.121082,6.9
124199945.352024,Comedy,Home,2.976436,2015.0,339361177.121082,6.9
124199945.352024,Animation,Home,2.976436,2015.0,339361177.121082,6.9
124199945.352024,Science Fiction,Home,2.976436,2015.0,339361177.121082,6.9
124199945.352024,Family,Home,2.976436,2015.0,339361177.121082,6.9
11039995.1424021,Drama,Paper Towns,2.968254,2015.0,78671281.38463621,6.2
11039995.1424021,Mystery,Paper Towns,2.968254,2015.0,78671281.38463621,6.2
11039995.1424021,Romance,Paper Towns,2.968254,2015.0,78671281.38463621,6.2
27599987.856005296,Thriller,Wild Card,2.93234,2015.0,0.0,5.3
27599987.856005296,Crime,Wild Card,2.93234,2015.0,0.0,5.3
27599987.856005296,Drama,Wild Card,2.93234,2015.0,0.0,5.3
3679998.38080071,Thriller,The Lobster,2.8851259999999996,2015.0,8339346.45068756,6.6
3679998.38080071,Comedy,The Lobster,2.8851259999999996,2015.0,8339346.45068756,6.6
3679998.38080071,Drama,The Lobster,2.8851259999999996,2015.0,8339346.45068756,6.6
3679998.38080071,Romance,The Lobster,2.8851259999999996,2015.0,8339346.45068756,6.6
3679998.38080071,Science Fiction,The Lobster,2.8851259999999996,2015.0,8339346.45068756,6.6
10855995.2233621,Romance,Carol,2.883233,2015.0,37050347.8978469,7.1
10855995.2233621,Drama,Carol,2.883233,2015.0,37050347.8978469,7.1
32199985.8320062,Comedy,The Intern,2.8148020000000002,2015.0,178999419.480255,7.1
50599977.7360098,Adventure,Everest,2.7980169999999998,2015.0,187153294.93255,6.7
50599977.7360098,Drama,Everest,2.7980169999999998,2015.0,187153294.93255,6.7
55199975.71201059,Comedy,Joy,2.793297,2015.0,93043293.3409509,6.4
55199975.71201059,Drama,Joy,2.793297,2015.0,93043293.3409509,6.4
96599957.49601871,Action,Point Break,2.6144990000000004,2015.0,123021159.990689,5.5
96599957.49601871,Crime,Point Break,2.6144990000000004,2015.0,123021159.990689,5.5
96599957.49601871,Thriller,Point Break,2.6144990000000004,2015.0,123021159.990689,5.5
18399991.9040035,Drama,Burnt,2.584264,2015.0,33678188.7415969,6.3
23919989.475204602,Science Fiction,Self/less,2.578919,2015.0,28081355.564203497,6.2
23919989.475204602,Mystery,Self/less,2.578919,2015.0,28081355.564203497,6.2
23919989.475204602,Thriller,Self/less,2.578919,2015.0,28081355.564203497,6.2
55199975.71201059,Comedy,Mortdecai,2.575711,2015.0,27985062.8865723,5.3
55199975.71201059,Adventure,Mortdecai,2.575711,2015.0,27985062.8865723,5.3
13799993.9280026,Drama,The Danish Girl,2.557859,2015.0,59056175.175282896,7.3
64399971.6640124,Mystery,Blackhat,2.5507470000000003,2015.0,16332697.613613,5.0
64399971.6640124,Crime,Blackhat,2.5507470000000003,2015.0,16332697.613613,5.0
64399971.6640124,Action,Blackhat,2.5507470000000003,2015.0,16332697.613613,5.0
64399971.6640124,Thriller,Blackhat,2.5507470000000003,2015.0,16332697.613613,5.0
